[21:09:55] [INFO] received Windows console close event; shutting log-core down
[20:19:50] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[20:19:50] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[20:26:08] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[20:26:08] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[20:26:08] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[17:00:45] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[17:00:45] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[17:02:48] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[17:12:29] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[17:51:37] [INFO] received Windows console close event; shutting log-core down
[08:05:50] [INFO] received Windows console close event; shutting log-core down
[13:15:08] [INFO] received Windows console close event; shutting log-core down
[20:46:54] [INFO] received Windows console close event; shutting log-core down
[21:25:14] [INFO] received Windows console close event; shutting log-core down
[20:15:37] [INFO] received Windows console close event; shutting log-core down
[20:40:18] [INFO] received Windows console close event; shutting log-core down
[16:27:50] [INFO] received Windows console close event; shutting log-core down
[19:39:49] [INFO] received Windows console close event; shutting log-core down
[18:22:28] [INFO] received Windows console close event; shutting log-core down
[14:36:16] [INFO] received Windows console close event; shutting log-core down
[11:37:59] [INFO] received Windows console close event; shutting log-core down
[11:40:11] [INFO] received Windows console close event; shutting log-core down
[16:56:56] [INFO] received Windows console close event; shutting log-core down
[15:31:53] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[18:17:46] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[20:11:26] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[11:00:49] [INFO] received Windows console close event; shutting log-core down
